comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10156316962108463_10156317301553463,8245623462_10156316962108463,10156316962108463_10156317101723463,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82w',0,2018-03-18 03:49:56,0
10156316962108463_10156317359603463,8245623462_10156316962108463,10156316962108463_10156317101723463,"b""You prefer a nice form of jumpshot but can't even hit the rim??""",0,2018-03-18 04:15:10,0
10156316962108463_10156317494378463,8245623462_10156316962108463,10156316962108463_10156317101723463,"b""I just don't understand how he gets a good arc on it sometimes. Like sometimes it's really flat and it looks like it fits how he shoots and then sometimes he gets a nice arc on it and it looks like a 2K glitch \xf0\x9f\x98\x82""",0,2018-03-18 05:18:47,0
10156316962108463_10156317104548463,8245623462_10156316962108463,,"b""He's always been good. Only slipped to the 2nd round because he was undersized, though now he's the perfect size with the way the game has changed.""",0,2018-03-18 02:27:32,2
10156316962108463_10156317106068463,8245623462_10156316962108463,,b'\xe8\xa8\xb1\xe6\x99\x8f\xe8\xaa\xa0\xe5\x90\xb3\xe5\x90\x8d\xe5\x87\xb1\xe8\xa6\x81\xe5\x87\xba\xe7\xb4\xab\xe5\x8d\xa1\xe4\xba\x86',0,2018-03-18 02:28:11,0
10156316962108463_10156317106348463,8245623462_10156316962108463,10156316962108463_10156317106068463,b' [[STICKER]]',0,2018-03-18 02:28:20,0
10156316962108463_10156317121653463,8245623462_10156316962108463,,"b""If Coach Kerr can lead GSW to above .500 without Durant, Curry, and Thompson, he'll be considered as a legitimately great coach, right up there with Stevens and Popovich. But the fact that GSW can win without those 3 shows how stacked they are.""",0,2018-03-18 02:35:16,3
10156316962108463_10156317135288463,8245623462_10156316962108463,10156316962108463_10156317121653463,"b'Too much excuses.stop it. its like saying ""can durant curry and klay just die or something""'",0,2018-03-18 02:37:30,0
10156316962108463_10156317145658463,8245623462_10156316962108463,10156316962108463_10156317121653463,b'Which is which? You are too confused.\xf0\x9f\x98\x85',0,2018-03-18 02:41:51,6
10156316962108463_10156317170023463,8245623462_10156316962108463,10156316962108463_10156317121653463,b'Arnel Fernando GSW is stacked because they are deep enough to win without their top 3 players. But Kerr has chance to prove himself if he can coach the team above .500 by beating good teams. They just beat a bad team.',0,2018-03-18 02:50:34,0
10156316962108463_10156317410803463,8245623462_10156316962108463,10156316962108463_10156317121653463,"b'Still confusing, Mark.  So if the Warriors without the big three and win, the team is just TOO stacked.  Kerr still needs to prove himself the bench team can beat the other good teams?  And why?'",0,2018-03-18 04:39:38,0
10156316962108463_10156317415723463,8245623462_10156316962108463,10156316962108463_10156317121653463,"b'Jimmy Y Yau GSW is too stacked that it can beat a bad team with just Draymond Green and rotation players. But if they can beat top 10 teams without their top 3, then that is Coach Kerr doing a great coaching job.'",0,2018-03-18 04:41:49,0
10156316962108463_10156317507213463,8245623462_10156316962108463,10156316962108463_10156317121653463,b'Lack of 90million dollar players is hard to coach',0,2018-03-18 05:24:56,0
10156316962108463_10156317521913463,8245623462_10156316962108463,10156316962108463_10156317121653463,"b'Spoelstra, Popovich, and Stevens can put G-league talent into the playoffs.'",0,2018-03-18 05:32:33,0
10156316962108463_10156317124583463,8245623462_10156316962108463,,b'Good job draymond green...',0,2018-03-18 02:35:47,0
10156316962108463_10156317133403463,8245623462_10156316962108463,,b'Over one of the worst team this season.. come back when he made it alone against top teams stupid post',0,2018-03-18 02:36:37,0
10156316962108463_10156317147103463,8245623462_10156316962108463,,"b'Nicholas Glynn Gabe Fraser you watch this and realise just how good Steph, klay and KD are when this guy is the 4th best player. Could be #1 option on another team'",0,2018-03-18 02:42:16,0
